StudyHours,ExtraParticipation,PapersPracticed,PreviousMarks,SleepingHours,PerformancePapersPracticedIndex
8,Yes,,78,6,74
5,No,6,80,6,67
3,Yes,0,67,9,
2,Yes,3,80,4,59
9,No,8,70,8,69
5,Yes,9,97,9,86
2,No,0,70,6,43
7,No,4,82,7,70
7,No,7,93,8,87
9,Yes,6,4,8,38
6,Yes,,73,8,6
5,No,9,92,5,78
2,Yes,3,55,6,29
3,No,,63,6,42
7,Yes,2,90,7,85
6,Yes,8,82,9,72
6,No,9,64,9,52
2,Yes,8,78,8,60
4,No,3,56,9,40
9,No,5,46,4,40
7,No,6,72,9,62
2,No,9,84,4,6
4,No,5,97,9,80
7,No,8,87,5,78
4,No,3,98,4,79
9,Yes,8,69,6,67
4,Yes,9,64,8,
2,Yes,8,96,9,75
2,No,,97,8,74
4,Yes,6,90,9,72
9,No,3,54,5,53
8,Yes,3,63,4,60
8,Yes,3,75,8,72
2,No,4,90,4,65
6,No,2,54,7,4
3,No,7,73,6,5
2,No,3,64,6,42
3,No,5,44,7,23
7,Yes,5,79,7,68
4,No,2,52,4,34
9,No,0,9,7,87
3,No,6,66,4,45
7,No,5,73,7,65
6,No,8,,5,36
7,Yes,5,75,4,66
8,No,4,78,6,72
,No,6,57,7,3
9,Yes,,60,6,55
4,Yes,8,45,4,28
2,Yes,,65,8,43
4,Yes,5,92,9,77
4,No,4,99,6,80
7,No,9,57,6,52
5,Yes,3,9,6,78
2,No,0,69,9,45
7,No,5,63,7,56
9,Yes,3,58,4,53
6,No,7,54,9,45
8,No,4,53,8,49
5,Yes,8,56,9,43
7,No,0,79,9,73
3,No,,6,6,42
9,No,8,83,9,85
,No,5,62,9,35
3,No,7,54,9,35
6,No,,54,7,40
,Yes,8,99,9,77
7,Yes,8,64,7,53
,Yes,3,49,8,24
7,No,7,66,6,57
6,Yes,4,59,7,47
,No,4,80,5,58
6,Yes,9,95,8,88
,Yes,2,98,8,75
3,No,5,48,7,30
4,No,2,96,8,82
,Yes,,,4,9
5,Yes,0,55,8,44
3,Yes,,90,7,68
8,No,2,57,5,
8,No,2,69,8,65
4,Yes,4,57,9,43
4,No,6,79,5,63
7,No,5,64,4,
2,Yes,6,66,5,42
9,No,9,43,8,45
4,No,5,87,8,74
6,Yes,2,89,5,80
,No,6,6,8,38
9,Yes,8,46,7,42
8,Yes,,85,6,77
4,No,5,92,8,76
4,No,4,87,8,7
8,Yes,7,9,6,86
3,Yes,,94,5,74
3,No,7,45,6,23
9,No,8,54,5,49
9,Yes,4,86,6,83
9,No,0,44,4,4
2,Yes,9,68,8,45
5,No,0,75,7,63
8,No,2,87,8,82
2,No,8,42,7,2
9,Yes,2,8,6,77
9,No,0,95,6,90
,Yes,4,68,4,42
,No,,74,7,
2,No,6,66,8,4
3,Yes,,8,9,60
6,No,3,83,4,7
9,Yes,,67,7,63
7,No,2,5,8,45
,No,6,89,5,67
5,Yes,4,66,5,5
,No,7,8,9,54
5,No,5,48,5,32
6,Yes,9,54,6,43
2,No,9,44,7,8
2,Yes,2,86,6,62
6,No,7,56,6,42
6,Yes,7,5,4,39
4,Yes,5,68,5,5
7,No,3,9,4,83
3,No,,58,4,35
3,Yes,8,56,4,37
9,No,8,60,8,58
5,Yes,7,70,9,57
5,No,0,77,7,62
7,Yes,9,65,6,57
4,No,0,66,8,47
3,Yes,7,57,5,38
9,No,,65,5,62
4,No,3,74,7,53
6,Yes,9,52,9,4
7,No,4,53,9,44
6,Yes,6,53,6,37
6,Yes,3,45,5,36
6,No,6,75,4,63
4,No,9,97,5,82
6,No,4,98,4,84
3,No,9,72,7,54
2,No,7,98,8,80
8,Yes,7,57,6,54
8,No,2,66,7,59
4,Yes,6,66,8,5
5,Yes,8,59,6,45
5,Yes,2,79,9,65
6,Yes,9,77,8,64
,No,0,83,6,59
9,No,0,47,4,4
6,Yes,,66,8,55
,No,2,42,9,2
3,Yes,9,88,9,70
5,No,9,80,8,69
2,Yes,4,7,5,47
4,Yes,9,72,8,56
9,No,0,77,4,69
7,Yes,2,90,8,8
,Yes,9,49,9,24
3,Yes,2,84,5,63
8,No,4,73,5,68
8,No,3,8,4,70
5,Yes,5,66,5,49
4,Yes,,56,5,42
5,Yes,8,55,6,40
6,Yes,5,84,4,72
3,Yes,6,48,6,28
9,Yes,2,58,7,54
3,No,3,7,5,48
7,Yes,4,,6,42
6,No,0,6,6,48
8,No,,49,9,4
2,No,6,60,6,38
9,Yes,5,94,8,93
7,No,2,40,6,33
5,No,3,84,5,66
9,Yes,7,55,5,
7,Yes,8,7,5,62
4,Yes,3,87,6,73
6,Yes,2,73,6,6
,Yes,2,53,4,29
5,Yes,6,48,8,33
9,Yes,4,89,9,88
6,No,9,66,6,56
6,Yes,8,62,5,47
3,Yes,,93,7,73
6,No,3,44,8,32
,No,4,8,6,54
5,No,8,92,4,78
2,Yes,,48,9,23
4,No,3,89,6,7
,Yes,,7,4,4
6,No,2,9,6,77
4,No,5,99,9,86
3,Yes,,97,9,80
9,Yes,8,96,5,96
5,Yes,9,42,6,25
6,Yes,4,80,8,70
8,Yes,6,9,7,90
3,No,2,83,6,66
,Yes,0,52,7,27
4,No,0,88,4,69
8,No,3,55,8,49
6,No,8,47,9,37
6,No,,5,9,40
6,No,6,55,4,4
,Yes,3,99,7,77
2,Yes,9,52,8,3
8,No,6,94,8,88
,No,3,67,9,4
7,Yes,5,86,5,76
6,Yes,8,88,5,75
5,Yes,0,95,9,8
6,No,9,53,9,46
8,No,3,44,4,37
7,Yes,9,9,4,82
4,Yes,7,87,9,73
5,Yes,0,69,6,52
7,No,3,45,8,36
7,No,,53,9,4
9,Yes,4,54,4,48
8,Yes,7,66,7,64
6,Yes,3,43,4,30
,No,0,98,9,72
3,No,9,66,9,46
9,Yes,9,8,7,82
6,No,4,5,4,36
4,Yes,9,63,9,46
9,Yes,9,42,8,44
,Yes,4,46,9,23
6,No,6,79,9,7
7,No,2,69,9,63
7,No,0,40,6,3
9,No,5,58,7,52
9,No,3,5,8,47
,No,3,83,5,59
8,No,8,99,4,97
,No,,9,8,63
2,Yes,3,75,7,53
2,No,,74,5,5
4,Yes,8,90,6,74
6,Yes,9,53,6,40
8,Yes,5,94,6,90
6,Yes,2,70,7,59
9,No,3,83,7,76
3,No,2,59,4,34
,No,7,77,8,5
5,No,0,6,7,47
9,Yes,3,46,7,40
6,Yes,,8,4,67
5,Yes,8,77,5,64
8,No,5,58,7,54
5,Yes,0,84,5,69
5,Yes,9,90,5,75
7,No,,97,4,86
7,No,,86,9,78
7,No,8,53,8,47
2,No,,40,8,6
7,Yes,4,95,8,84
,No,3,4,7,2
7,Yes,4,90,6,8
,Yes,5,82,5,54
5,No,,96,4,79
3,No,8,76,9,57
2,Yes,8,55,8,38
3,No,7,4,8,9
7,No,3,43,5,32
8,No,8,56,8,52
6,Yes,8,4,5,30
3,No,7,55,5,36
3,No,8,80,8,59
4,No,2,43,8,25
,Yes,5,7,6,
9,Yes,7,60,7,60
7,No,8,90,4,77
7,No,,47,8,40
2,Yes,9,67,6,47
4,Yes,2,65,9,48
2,No,7,98,9,78
5,No,4,4,8,26
8,Yes,,76,5,68
,Yes,0,53,6,25
2,No,0,48,4,8
3,Yes,,78,6,58
9,Yes,2,58,4,54
,Yes,9,93,5,69
6,Yes,9,7,6,6
5,No,0,44,6,30
,Yes,3,66,9,4
6,Yes,,9,4,78
9,Yes,9,43,9,45
,No,,60,5,32
3,Yes,2,79,9,60
,Yes,0,48,7,24
8,Yes,0,4,5,34
4,No,0,87,4,62
8,No,,69,7,63
3,Yes,0,58,5,34
4,No,0,87,5,69
7,No,5,85,9,77
3,No,8,66,6,44
,Yes,0,57,5,29
6,Yes,5,72,7,60
4,No,7,49,8,30
3,Yes,5,93,9,75
6,No,9,55,6,45
3,Yes,7,64,4,46
3,Yes,,93,9,73
4,No,5,62,9,44
,Yes,4,59,5,34
,No,2,48,9,23
5,No,,5,7,32
5,Yes,7,90,8,75
6,Yes,2,82,7,74
2,Yes,3,70,9,48
2,Yes,3,45,6,2
2,No,0,69,8,46
8,No,2,60,5,49
8,No,3,58,5,
2,Yes,7,70,7,54
8,No,3,40,6,3
3,No,3,57,6,37
2,No,0,60,9,35
3,No,6,94,5,75
9,Yes,6,44,8,39
7,Yes,9,74,6,66
3,Yes,8,82,7,64
,No,0,78,8,54
7,No,7,54,6,44
6,Yes,,65,6,54
7,No,9,80,6,68
9,No,,,8,47
9,No,7,55,7,5
6,No,2,92,5,80
4,Yes,3,67,6,49
9,No,3,42,7,40
5,Yes,9,78,7,67
7,Yes,9,54,4,46
3,Yes,4,96,9,80
4,Yes,7,77,9,62
3,Yes,9,86,6,68
9,No,3,49,5,4
6,Yes,3,64,4,
9,Yes,7,4,7,32
3,Yes,8,98,7,8
,Yes,9,53,7,3
,Yes,2,5,5,22
8,Yes,,83,4,74
6,Yes,9,79,9,77
2,Yes,3,40,5,7
5,No,4,40,6,26
8,Yes,0,97,9,90
,No,5,93,8,68
4,Yes,4,8,8,66
7,No,9,8,6,72
6,Yes,,74,9,63
4,Yes,4,46,5,30
9,No,5,46,7,43
,Yes,6,99,4,73
8,No,0,77,9,7
5,No,4,67,8,53
3,Yes,8,73,7,53
8,Yes,2,60,6,52
4,No,4,46,8,28
3,No,0,83,7,6
4,Yes,9,96,8,82
8,Yes,7,85,8,83
8,Yes,7,97,5,9
8,No,7,82,8,77
6,No,6,54,8,44
4,No,,64,6,44
2,No,9,84,7,63
9,No,2,6,8,57
7,No,2,58,4,48
9,No,4,73,4,66
2,No,7,86,9,64
5,No,7,57,7,44
2,Yes,6,77,8,55
9,No,4,67,4,57
2,Yes,0,48,8,27
2,Yes,9,44,5,22
,Yes,7,94,4,70
3,Yes,7,48,9,25
8,No,6,63,5,56
3,Yes,8,89,8,65
,No,6,9,7,66
4,No,,44,6,26
3,Yes,,95,5,74
2,Yes,9,53,5,26
8,Yes,4,65,8,60
6,Yes,0,54,6,43
3,No,5,6,4,4
2,Yes,0,64,7,42
4,No,3,89,4,7
5,No,0,63,6,49
4,No,7,45,7,28
2,Yes,2,75,8,54
6,No,0,69,8,60
2,No,4,52,8,3
8,No,,80,5,74
6,No,3,4,9,29
7,No,2,46,5,36
,No,,79,4,52
6,No,8,67,4,53
,No,0,58,8,29
7,Yes,7,85,9,80
,Yes,5,53,8,29
4,No,0,55,7,4
9,Yes,5,73,4,68
8,Yes,6,87,5,78
9,Yes,3,42,9,37
7,No,8,8,6,73
3,No,0,84,9,64
3,No,,87,8,7
6,No,7,60,8,
4,No,,8,4,59
8,No,7,87,6,80
3,Yes,4,76,7,56
2,No,8,82,6,55
9,Yes,7,52,8,49
8,No,7,92,5,88
4,Yes,3,97,4,79
9,Yes,0,60,7,56
9,Yes,3,55,7,52
8,Yes,,56,6,46
4,No,4,89,7,75
4,Yes,,79,8,60
4,Yes,6,86,7,67
6,Yes,8,66,8,56
3,No,4,79,8,6
6,No,5,49,5,37
2,Yes,,63,7,39
5,Yes,4,95,4,8
5,No,5,62,4,47
,No,8,44,4,8
7,No,3,99,7,93
9,No,4,77,4,73
,No,8,5,4,29
2,Yes,6,57,4,32
5,No,4,48,6,33
6,No,5,68,5,57
8,Yes,5,53,8,49
6,Yes,6,99,8,92
7,No,,99,8,89
7,Yes,,55,7,44
5,No,,78,8,65
5,No,5,48,8,37
7,Yes,4,65,4,58
7,Yes,3,93,6,86
,Yes,9,62,8,37
2,No,,48,7,22
,Yes,6,66,5,4
6,No,5,58,6,48
6,No,6,42,4,27
4,No,0,98,6,78
6,Yes,,90,9,80
7,Yes,7,89,5,80
9,No,7,72,9,70
6,No,8,42,7,3
5,Yes,6,4,8,26
8,Yes,,70,9,64
2,Yes,7,96,6,72
5,No,6,77,7,63
,No,9,87,8,62
9,Yes,2,65,7,63
5,Yes,7,82,4,67
5,No,6,89,5,74
3,Yes,2,55,5,32
5,Yes,8,5,8,39
4,No,8,62,8,47
5,Yes,2,70,8,55
8,Yes,,83,8,76
4,Yes,,67,6,49
4,No,4,74,7,57
,No,6,40,9,3
4,No,0,88,7,70
9,No,7,64,6,56
8,No,2,53,5,45
3,Yes,6,73,9,55
2,No,0,46,5,22
3,Yes,4,54,4,32
2,Yes,8,72,9,52
4,No,8,75,7,60
5,No,,52,8,37
5,Yes,9,40,8,25
,Yes,7,42,9,7
9,Yes,4,82,4,79
4,Yes,2,96,9,8
5,No,5,98,8,86
3,No,7,52,5,32
2,No,7,45,4,2
,No,2,87,7,58
9,Yes,9,96,8,99
9,No,,96,5,94
8,Yes,7,40,6,34
,No,,95,6,70
4,Yes,3,94,8,82
8,No,,53,7,43
,Yes,5,97,4,7
3,Yes,,67,5,45
5,Yes,,87,6,72
9,No,,85,6,82
8,Yes,7,65,4,59
2,Yes,6,95,9,74
,No,8,57,8,32
9,No,6,66,9,65
8,No,3,4,9,36
4,No,7,6,7,47
,Yes,8,98,5,73
9,Yes,4,58,9,57
9,No,8,4,9,37
6,No,0,97,7,87
6,Yes,8,73,4,60
9,No,2,40,8,39
,No,9,48,4,2
7,No,,58,6,49
4,No,9,42,8,22
5,No,2,42,6,24
8,No,4,67,5,62
2,No,4,49,6,26
5,Yes,4,98,8,84
5,Yes,6,75,9,62
6,Yes,4,49,8,37
7,No,3,40,6,3
2,No,2,99,6,73
5,No,6,87,4,72
7,No,9,70,8,62
8,No,0,52,5,47
,No,4,86,5,59
8,No,3,67,6,58
2,Yes,7,55,8,32
2,Yes,7,68,4,47
9,No,7,80,9,82
3,No,4,94,8,75
9,No,9,43,7,43
8,No,7,85,9,79
9,No,3,,9,5
3,No,6,77,8,56
9,Yes,2,92,4,87
,Yes,3,99,4,7
6,Yes,9,95,5,85
8,Yes,8,76,7,74
2,No,7,85,7,65
4,Yes,8,56,5,38
8,No,2,8,6,72
6,No,9,96,8,84
8,No,8,52,8,
5,No,0,60,9,49
5,Yes,8,60,5,45
8,Yes,5,67,9,62
6,Yes,3,5,9,44
3,No,,40,4,20
4,No,,83,4,62
6,No,2,9,4,79
9,No,5,4,9,36
4,No,5,93,8,74
5,Yes,5,92,6,78
9,Yes,2,77,4,74
6,No,0,86,7,76
5,No,7,84,4,69
9,No,2,66,4,59
4,Yes,6,68,5,
7,Yes,3,60,9,48
7,No,0,80,8,7
5,Yes,9,9,6,79
7,No,,8,6,69
4,Yes,3,9,4,74
7,No,6,75,6,66
9,Yes,6,8,7,78
3,No,8,88,8,68
8,Yes,8,82,4,75
4,Yes,6,47,4,25
8,No,7,46,5,40
4,Yes,4,54,8,34
4,No,5,83,5,66
4,Yes,9,60,9,43
7,No,9,6,7,55
,No,2,52,5,26
8,Yes,2,40,8,36
7,Yes,,93,6,84
3,No,6,8,6,60
3,No,,87,9,67
8,Yes,2,60,6,54
6,No,8,53,9,45
5,No,2,87,6,72
,Yes,3,44,7,7
5,Yes,8,40,5,24
,No,,63,9,36
7,No,,82,7,74
8,Yes,8,67,5,6
5,Yes,8,90,4,77
5,Yes,4,66,5,52
3,Yes,8,62,4,43
3,No,5,4,8,8
9,No,2,56,5,52
5,No,7,69,9,55
9,Yes,3,64,6,6
8,No,0,48,6,38
4,Yes,3,68,4,
8,No,6,52,5,45
5,Yes,3,48,5,3
5,No,0,44,6,26
7,Yes,4,42,5,3
7,Yes,7,53,5,44
4,Yes,3,95,8,82
2,No,9,80,4,59
6,No,5,9,4,74
9,Yes,9,9,5,93
3,No,7,6,9,4
2,Yes,,43,8,22
,No,7,46,4,20
5,No,9,62,5,
6,Yes,2,97,9,90
8,No,4,88,7,82
7,No,8,49,7,37
7,Yes,3,56,9,47
7,Yes,9,80,9,74
8,No,4,9,8,88
9,No,2,58,8,55
,Yes,4,74,7,
3,No,,72,7,
7,Yes,8,47,5,39
2,Yes,2,8,9,57
2,Yes,6,43,8,23
9,Yes,3,83,6,82
3,No,7,9,5,76
3,No,,93,5,72
6,No,8,7,9,60
9,Yes,2,48,6,48
6,Yes,9,44,9,34
6,No,3,67,8,57
8,Yes,9,56,9,5
7,No,3,72,8,66
5,No,5,64,6,49
3,No,7,47,8,27
5,No,8,62,7,45
7,No,3,78,9,72
9,No,2,68,5,66
5,No,4,88,4,76
,No,2,57,9,29
3,No,6,96,9,78
9,Yes,6,5,5,48
2,No,5,76,4,55
9,Yes,9,79,8,79
,Yes,,57,6,29
2,Yes,3,67,7,44
8,Yes,,88,6,82
4,Yes,,87,5,7
7,No,,62,9,53
4,No,,57,6,40
5,No,0,53,7,37
4,Yes,3,84,6,67
2,No,,72,9,52
,No,3,52,8,24
9,Yes,3,54,7,52
,No,9,53,5,26
6,Yes,9,64,4,48
9,No,3,56,4,5
5,No,4,9,9,76
7,No,6,87,7,83
8,No,8,93,5,88
9,No,2,95,4,9
7,No,6,68,9,62
3,No,2,47,9,27
2,No,,42,6,9
7,Yes,6,67,7,59
2,Yes,6,92,6,70
5,No,0,44,8,27
,Yes,3,94,9,68
2,Yes,2,82,7,6
,Yes,3,46,4,22
3,No,2,78,8,57
5,No,8,73,7,6
3,Yes,6,9,6,74
,Yes,3,73,7,49
,Yes,0,66,8,4
5,Yes,9,60,5,48
9,No,2,72,8,68
8,No,3,87,5,83
,Yes,5,97,4,73
7,No,3,9,9,82
9,Yes,0,97,7,95
,Yes,4,77,7,5
8,No,6,59,6,54
4,No,0,60,4,38
2,No,,58,8,33
5,Yes,,95,5,80
2,Yes,9,53,5,30
4,Yes,9,,4,35
8,No,3,40,4,3
7,Yes,8,56,7,45
,Yes,,42,8,7
7,No,9,74,9,68
7,Yes,5,73,9,66
3,No,3,8,8,59
5,Yes,8,84,6,67
2,No,0,65,4,39
9,Yes,6,70,4,64
7,Yes,4,97,9,89
3,Yes,0,80,8,62
3,No,4,94,6,74
2,No,3,69,8,49
2,Yes,7,53,9,32
2,No,3,82,5,6
4,Yes,7,98,9,8
4,Yes,0,87,7,68
5,No,2,47,5,32
3,Yes,6,70,9,52
8,No,5,82,9,78
,No,8,95,8,69
,No,6,92,9,68
7,No,,79,5,67
7,No,5,5,8,44
7,No,0,48,7,40
7,Yes,9,79,9,74
,No,2,42,4,8
4,Yes,7,79,8,63
3,Yes,8,86,7,7
4,Yes,7,9,4,72
7,No,6,77,5,67
2,Yes,7,82,7,6
7,Yes,7,54,7,45
4,No,3,48,6,29
6,Yes,8,4,7,3
2,No,8,54,8,26
2,No,4,83,7,59
4,Yes,3,93,5,79
4,Yes,6,48,9,33
2,Yes,8,58,9,35
3,Yes,4,68,7,46
9,Yes,6,54,8,5
6,No,2,5,5,38
6,Yes,9,63,4,49
5,Yes,3,84,8,73
5,Yes,8,54,6,38
4,Yes,5,90,8,7
6,Yes,4,62,5,5
5,No,0,43,8,27
7,Yes,5,95,6,85
2,No,5,4,9,9
3,No,8,65,5,42
5,No,,79,5,65
,Yes,8,47,9,23
3,No,7,84,9,70
9,No,6,84,6,82
3,Yes,7,73,8,59
6,No,6,44,7,30
7,No,7,97,7,88
3,No,3,62,7,40
5,No,,98,8,82
,Yes,9,43,8,7
4,No,4,45,5,25
5,Yes,4,72,7,57
4,No,6,96,9,78
7,No,,74,8,65
6,Yes,0,48,5,38
3,No,3,72,4,53
8,No,7,73,9,66
9,Yes,9,69,4,65
2,Yes,5,95,6,75
4,Yes,3,75,8,57
6,Yes,6,54,9,47
4,No,3,52,5,35
7,No,,96,9,89
,Yes,2,40,4,3
,No,4,86,7,60
,No,,88,9,68
9,Yes,5,55,8,56
3,No,3,8,6,62
2,Yes,2,74,6,
6,No,0,46,4,33
9,Yes,4,69,4,64
3,No,8,92,9,75
5,No,8,53,9,38
5,No,6,88,6,74
5,No,8,88,8,74
3,No,2,75,7,56
7,No,,52,8,43
4,No,9,72,5,52
9,Yes,6,99,5,97
8,Yes,7,45,6,37
3,Yes,,75,6,57
2,Yes,5,87,6,6
,No,,72,6,45
3,No,4,98,6,79
6,Yes,8,46,4,32
7,No,6,87,4,79
9,No,9,44,7,40
2,No,8,65,7,42
,No,0,54,8,3
4,No,0,6,5,42
2,No,4,59,4,37
8,No,6,87,7,82
9,No,0,52,4,47
,No,3,57,6,35
7,No,6,94,9,87
2,Yes,3,78,6,59
8,Yes,4,45,4,39
8,No,6,54,4,46
7,Yes,,54,6,4
8,Yes,9,93,9,88
5,Yes,6,44,4,25
8,No,3,84,7,77
6,Yes,6,77,6,67
8,No,,89,8,87
3,Yes,3,70,8,
9,Yes,0,47,4,45
8,No,7,62,5,57
3,Yes,9,56,5,34
3,Yes,9,79,4,64
5,No,5,84,8,69
2,Yes,4,45,4,2
9,Yes,,52,4,44
6,Yes,8,42,6,30
4,No,3,68,8,5
5,Yes,4,99,6,87
5,Yes,3,70,5,53
,No,0,87,5,6
8,Yes,2,52,9,45
9,No,9,96,5,9
5,No,2,65,7,47
2,No,8,80,6,55
4,No,5,96,4,77
,No,5,47,4,7
5,Yes,6,65,6,54
3,No,6,87,6,66
7,No,6,87,8,79
9,No,7,69,5,66
2,No,6,76,6,52
6,Yes,3,63,9,53
8,Yes,4,75,7,7
6,No,3,70,8,63
8,Yes,,65,7,55
9,Yes,,99,8,99
,No,6,72,8,49
7,Yes,2,93,7,86
5,No,,92,9,78
7,Yes,6,74,6,65
5,No,0,7,8,57
2,No,0,5,5,27
3,Yes,9,66,7,44
3,No,,7,7,49
6,Yes,8,4,5,28
8,Yes,,70,8,64
2,No,,64,7,39
2,No,7,95,9,76
,No,8,89,8,66
7,Yes,8,93,9,87
,No,3,54,7,26
8,Yes,4,76,5,72
4,No,,65,4,46
7,Yes,,65,5,58
6,Yes,2,66,4,56
5,No,9,87,6,76
2,Yes,7,77,6,56
6,Yes,6,54,5,43
8,Yes,5,88,7,86
2,No,4,66,7,43
6,Yes,9,64,6,54
8,Yes,9,80,5,74
4,Yes,4,6,4,43
4,Yes,6,77,8,60
4,No,4,62,7,44
6,No,,54,8,42
3,Yes,0,54,6,28
4,Yes,3,94,4,75
,Yes,3,79,7,54
4,Yes,5,5,9,33
5,No,3,82,8,67
9,No,7,47,5,47
5,No,2,93,4,77
7,No,5,78,6,67
5,Yes,3,42,7,32
5,Yes,3,57,5,42
7,No,3,77,8,70
8,No,3,57,5,52
3,Yes,6,62,6,44
3,Yes,0,65,8,45
,Yes,,75,4,46
6,Yes,4,64,7,49
3,No,3,66,7,44
3,No,4,93,8,76
5,No,,59,4,4
4,No,2,69,7,
6,No,7,86,7,75
7,No,4,52,4,42
8,No,0,64,9,58
4,Yes,2,95,6,77
6,No,2,6,5,
5,No,,52,8,3
5,Yes,3,66,4,49
3,Yes,8,9,8,73
4,No,4,79,5,6
9,No,3,,6,44
6,Yes,2,83,7,70
2,Yes,8,78,8,58
6,Yes,,75,4,63
5,Yes,9,94,8,78
,No,5,40,8,6
6,No,0,77,7,66
,No,3,55,7,26
8,Yes,,89,4,83
7,Yes,4,49,6,37
,No,9,7,7,46
4,No,5,54,7,34
9,Yes,2,9,5,88
3,Yes,4,52,5,33
,No,2,45,7,5
9,Yes,,55,6,53
2,No,3,70,7,45
4,No,3,79,9,66
2,Yes,2,40,7,6
3,No,5,83,7,65
5,No,4,60,8,47
5,No,5,49,7,36
2,Yes,6,48,7,25
2,No,2,8,7,59
2,No,,46,6,22
8,No,0,47,9,40
3,No,4,56,4,33
3,Yes,,5,4,30
9,Yes,2,93,5,89
4,Yes,5,6,6,46
4,Yes,0,96,8,83
9,No,6,7,4,63
5,No,5,49,6,33
4,Yes,9,6,8,46
6,No,8,82,5,69
2,No,8,97,5,76
2,Yes,3,47,9,25
,Yes,4,84,8,63
4,Yes,7,65,8,48
8,No,0,40,4,26
9,No,9,69,9,64
9,No,5,40,6,38
5,Yes,5,52,6,36
6,Yes,0,44,8,36
4,No,0,48,7,27
3,No,8,40,8,8
5,Yes,9,8,5,66
2,Yes,6,6,6,37
9,Yes,2,,6,46
6,Yes,,92,6,80
4,No,0,64,7,45
4,Yes,3,68,5,53
,No,6,84,5,6
,No,3,99,7,74
6,Yes,5,69,6,60
2,No,3,57,6,30
4,No,4,48,4,3
9,No,4,65,7,60
5,No,7,6,6,48
5,No,5,82,9,66
7,Yes,3,95,6,89
8,No,6,69,9,6
9,No,4,82,8,80
6,Yes,,6,5,47
,Yes,3,47,9,2
6,No,,43,7,30
6,Yes,8,59,4,45
3,No,2,82,9,62
,Yes,4,87,9,64
6,No,6,53,5,40
2,No,8,84,6,6
3,Yes,4,87,4,65
2,Yes,7,,8,23
6,No,2,46,4,35
8,Yes,9,47,5,43
6,No,3,,5,36
2,Yes,5,59,6,40
2,No,9,60,7,35
4,Yes,5,40,6,2
4,Yes,3,72,5,56
,Yes,,45,7,20
3,No,6,78,5,57
8,Yes,9,76,8,69
,Yes,0,57,8,27
3,Yes,,4,4,5
,No,3,93,7,69
9,No,8,54,9,5
8,No,,85,5,80
7,Yes,8,6,6,54
2,Yes,5,,9,26
2,No,9,68,5,45
9,No,,60,9,6
8,No,,67,4,6
6,No,9,47,4,33
9,No,5,74,5,69
3,Yes,5,4,5,24
7,No,6,63,4,54
5,Yes,8,40,4,24
4,No,5,98,8,82
6,No,0,44,9,33
,Yes,0,43,7,7
3,Yes,3,6,7,39
,No,8,75,8,
9,No,6,93,8,93
6,No,0,55,6,44
4,No,8,53,9,40
6,No,0,89,8,76
4,No,9,65,5,49
3,No,5,97,7,78
3,Yes,8,57,7,38
8,No,6,45,5,34
5,Yes,4,5,6,36
9,Yes,4,88,5,85
3,Yes,5,67,9,47
6,Yes,3,94,7,83
2,No,8,67,7,45
2,No,2,58,9,34
4,Yes,7,56,4,39
7,Yes,9,48,9,44
8,No,,73,4,66
9,No,7,87,8,82
2,No,7,57,6,34
,No,6,92,4,6
5,No,5,85,8,75
2,No,4,68,6,45
7,No,4,47,4,38
8,Yes,,4,8,35
3,Yes,,58,6,4
,No,2,66,8,40
8,Yes,4,44,9,35
9,Yes,5,87,4,85
9,No,9,98,5,93
4,Yes,7,4,5,23
4,Yes,3,56,8,38
4,Yes,0,46,7,30
7,No,3,85,9,74
9,Yes,0,52,5,49
9,Yes,7,75,6,73
2,Yes,5,45,4,22
7,No,5,85,8,76
4,No,4,99,8,84
3,Yes,3,73,6,53
2,Yes,7,85,4,64
4,No,9,93,7,78
7,No,6,53,6,45
5,No,9,67,9,54
7,No,,40,6,29
6,No,2,46,6,33
3,Yes,4,83,6,63
6,No,5,86,9,76
,Yes,4,46,6,7
9,No,8,73,7,68
2,Yes,3,79,5,56
,Yes,4,49,9,25
4,No,0,4,7,23
7,Yes,2,79,4,67
4,No,3,6,9,44
5,Yes,7,84,4,73
,No,9,90,9,65
4,Yes,,70,9,54
8,No,7,68,8,67
4,No,6,84,4,65
5,No,4,44,6,29
,Yes,9,83,6,56
2,No,,73,7,48
8,No,,46,7,4
4,No,5,46,8,30
8,Yes,4,45,6,4
4,No,7,97,5,8
,No,5,47,5,2
6,Yes,8,58,6,46
4,No,2,72,8,52
8,Yes,6,83,6,78
8,No,6,97,9,95
2,No,0,85,5,6
5,No,0,42,4,25
8,No,2,85,7,78
7,Yes,7,8,4,74
8,No,5,70,5,59
6,Yes,3,8,5,69
8,Yes,2,95,6,87
7,Yes,9,97,5,9
9,No,8,78,8,79
5,Yes,6,93,8,80
9,No,3,40,9,38
8,Yes,8,92,7,89
4,No,0,69,7,
3,No,7,66,9,48
8,Yes,4,86,7,82
3,Yes,9,65,9,43
2,No,,76,6,53
9,Yes,4,67,9,64
6,No,,4,5,24
9,Yes,4,40,4,35
5,Yes,0,52,8,35
3,No,3,84,8,64
6,Yes,5,49,7,37
9,Yes,3,79,7,78
,No,9,,4,24
6,No,7,73,8,65
8,No,0,52,9,45
5,Yes,5,87,9,75
,Yes,7,48,6,25
9,No,0,44,4,39
2,No,5,87,9,67
,Yes,9,64,9,42
9,Yes,5,94,7,94
